PARAMETER_NAME,GUID,DATATYPE,GROUP,DESCRIPTION
BLE_APP-BACKGROUND_PATTERN,de4facff-b835-5fbb-97df-c90a46817e6d,TEXT,CST_PROC,Ble App-background Pattern [ISO 19650-1:2018]
BLE_APP-COLOR,4d711271-3fea-5c1d-9f60-140130758df9,TEXT,CST_PROC,Ble App-color [ISO 19650-1:2018]
BLE_APP-COMMENTS,bd0d1e72-19e3-5e7c-b27b-b56f2dc5d1e9,TEXT,CST_PROC,Ble App-comments [ISO 19650-1:2018]
BLE_APP-CUT-BG-COLOR,27a62c46-4ab1-56d4-8474-b090cf7406df,TEXT,CST_PROC,Ble App-cut-bg-color [ISO 19650-1:2018]
BLE_APP-CUT-BG-PATTERN,263205ab-ecb0-5c04-b72e-a061a597fd61,TEXT,CST_PROC,Ble App-cut-bg-pattern [ISO 19650-1:2018]
BLE_APP-CUT-FG-COLOR,4674e698-222c-5233-9a41-e24c034d9ee2,TEXT,CST_PROC,Ble App-cut-fg-color [ISO 19650-1:2018]
BLE_APP-CUT-FG-PATTERN,aea63902-5e4f-5022-bf17-e9f8c87ca01f,TEXT,CST_PROC,Ble App-cut-fg-pattern [ISO 19650-1:2018]
BLE_APP-CUT_PATTERN,af228161-0fa7-5d33-8e17-dae0514484d5,TEXT,CST_PROC,Ble App-cut Pattern [ISO 19650-1:2018]
BLE_APP-DESCRIPTION,169aa860-ea1c-58b4-951c-9a5056d01c44,TEXT,CST_PROC,Ble App-description [ISO 19650-1:2018]
BLE_APP-IDENTITY-CLASS,c6bb8c31-a04c-5beb-be66-fe2f681e2038,TEXT,CST_PROC,Ble App-identity-class [ISO 19650-1:2018]
BLE_APP-IMAGE,eaaf3b80-c7f9-508a-8e4e-2aafba2d2f76,TEXT,CST_PROC,Ble App-image [ISO 19650-1:2018]
BLE_APP-PHYSICAL-ASSET,01d12656-3d68-5cf0-9322-3e0bb5c89ae9,TEXT,CST_PROC,Ble App-physical-asset [ISO 19650-1:2018]
BLE_APP-REVIT-BASE-MATERIAL,4f857c55-e2d2-5526-bcfb-febfcf8135a7,TEXT,CST_PROC,Ble App-revit-base-material [ISO 19650-1:2018]
BLE_APP-SHADING_RGB,abead5cf-a33a-583e-9cc9-a7cbc321149a,TEXT,CST_PROC,Ble App-shading Rgb [ISO 19650-1:2018]
BLE_APP-SHININESS,a556243a-8e3c-58ce-a26d-66e2442d2d20,TEXT,CST_PROC,Ble App-shininess [ISO 19650-1:2018]
BLE_APP-SMOOTHNESS,5e59ebeb-b688-5c86-9fb3-4bc1cce11d0a,TEXT,CST_PROC,Ble App-smoothness [ISO 19650-1:2018]
BLE_APP-SURFACE-BG-COLOR,fc99a1b6-b1b1-5e71-93fb-78d20293c6ea,TEXT,CST_PROC,Ble App-surface-bg-color [ISO 19650-1:2018]
BLE_APP-SURFACE-BG-PATTERN,0007744c-a411-51ac-8722-314271c17c5a,TEXT,CST_PROC,Ble App-surface-bg-pattern [ISO 19650-1:2018]
BLE_APP-SURFACE-FG-COLOR,2b68bc1f-e624-5749-9cdc-c04057f03bed,TEXT,CST_PROC,Ble App-surface-fg-color [ISO 19650-1:2018]
BLE_APP-SURFACE-FG-PATTERN,a389b775-f56d-5c0f-8863-c1acca491c62,TEXT,CST_PROC,Ble App-surface-fg-pattern [ISO 19650-1:2018]
BLE_APP-SURFACE_PATTERN,ba316859-84b2-5bfa-b93f-a0144d43b482,TEXT,CST_PROC,Ble App-surface Pattern [ISO 19650-1:2018]
BLE_APP-THERMAL-ASSET,d9e521b5-c867-56ad-87d4-7c7e2ab29787,TEXT,CST_PROC,Ble App-thermal-asset [ISO 19650-1:2018]
BLE_APP-TRANSPARENCY,8bbcde0a-0db9-58b2-8562-30c7567f53dc,TEXT,CST_PROC,Ble App-transparency [ISO 19650-1:2018]
BLE_MAT_TEXTURE_URL,dda46a75-078f-5701-bb0e-67fb11002872,URL,CST_PROC,Ble Mat Texture Url [ISO 19650-1:2018]
MAT_APPLICATION,462a0ea4-dd70-5a0e-8f25-be818a47804a,TEXT,MAT_INFO,Mat Application [ISO 19650-1:2018]
MAT_CATEGORY,4cd946c9-17f7-5d6c-8593-07e1fe37d933,TEXT,MAT_INFO,Mat Category [ISO 19650-1:2018]
MAT_CODE,758ba3d0-ea41-51fc-8dbf-3bb444174385,TEXT,MAT_INFO,Mat Code [ISO 19650-1:2018]
MAT_COST_UGX,1ffd7a5b-353c-5634-bfe1-1a32c7ab44a1,CURRENCY,MAT_INFO,Mat Cost Ugx [ISO 19650-1:2018]
MAT_COST_USD,2dc13319-9225-58b5-9904-d9dc5455dcb0,CURRENCY,MAT_INFO,Mat Cost Usd [ISO 19650-1:2018]
MAT_DISCIPLINE,80a2b25a-3312-520c-911f-ad8c1d5f760b,TEXT,MAT_INFO,Mat Discipline [ISO 19650-1:2018]
MAT_DURABILITY,b40a8bae-2267-5cbd-863b-a237932e520e,TEXT,MAT_INFO,Mat Durability [ISO 19650-1:2018]
MAT_ELEMENT_TYPE,8e5bf87c-4cd4-575a-95cc-e2faf2beaf70,TEXT,MAT_INFO,Mat Element Type [ISO 19650-1:2018]
MAT_FEATURES,65fa7015-14b5-50c7-b339-9ea8d49645b5,TEXT,MAT_INFO,Mat Features [ISO 19650-1:2018]
MAT_ISO_19650_ID,11ce94b5-249d-5ab1-8f8f-ac5f9dd0faa6,TEXT,MAT_INFO,Mat Iso 19650 Id [ISO 19650-1:2018]
MAT_LAYER_1_FUNCTION,0359c961-29ed-5f4b-b3e6-a7dc55c23665,TEXT,MAT_INFO,Mat Layer 1 Function [ISO 19650-1:2018]
MAT_LAYER_1_MATERIAL,1bd477a7-6cfe-579d-adb9-10528e512790,TEXT,MAT_INFO,Mat Layer 1 Material [ISO 19650-1:2018]
MAT_LAYER_1_THICKNESS_MM,ac31c3c2-82f6-5cd9-a1e3-9489bc95a16b,LENGTH,MAT_INFO,Mat Layer 1 Thickness Mm [ISO 19650-1:2018]
MAT_LAYER_2_FUNCTION,f7a1b5af-867c-5d16-bf51-3857e7cdbec6,TEXT,MAT_INFO,Mat Layer 2 Function [ISO 19650-1:2018]
MAT_LAYER_2_MATERIAL,14b7c2f3-4188-5644-ab61-7f446cf631e8,TEXT,MAT_INFO,Mat Layer 2 Material [ISO 19650-1:2018]
MAT_LAYER_2_THICKNESS_MM,273ae5c0-1913-51c2-8415-5263b0c83606,LENGTH,MAT_INFO,Mat Layer 2 Thickness Mm [ISO 19650-1:2018]
MAT_LAYER_3_FUNCTION,12dc3e9a-4e10-5d90-8238-f03a7e719ada,TEXT,MAT_INFO,Mat Layer 3 Function [ISO 19650-1:2018]
MAT_LAYER_3_MATERIAL,20281f20-2ca0-549c-8720-4426956630fc,TEXT,MAT_INFO,Mat Layer 3 Material [ISO 19650-1:2018]
MAT_LAYER_3_THICKNESS_MM,0319ac70-dfa2-5e93-b765-aa9ea543bf0f,LENGTH,MAT_INFO,Mat Layer 3 Thickness Mm [ISO 19650-1:2018]
MAT_LAYER_4_FUNCTION,3bc551ba-bd2b-5a28-8080-3d5d069ee07d,TEXT,MAT_INFO,Mat Layer 4 Function [ISO 19650-1:2018]
MAT_LAYER_4_MATERIAL,646ebf48-0f81-5596-bc9e-e404360ba703,TEXT,MAT_INFO,Mat Layer 4 Material [ISO 19650-1:2018]
MAT_LAYER_4_THICKNESS_MM,d2f81f83-7867-51fb-9a06-a9e58f75f14a,LENGTH,MAT_INFO,Mat Layer 4 Thickness Mm [ISO 19650-1:2018]
MAT_LAYER_5_FUNCTION,7b72e860-4a66-5cce-ac4a-2ea5e638ff8f,TEXT,MAT_INFO,Mat Layer 5 Function [ISO 19650-1:2018]
MAT_LAYER_5_MATERIAL,2f0dac90-cbfa-5c9f-a41c-2e9959c7c97a,TEXT,MAT_INFO,Mat Layer 5 Material [ISO 19650-1:2018]
MAT_LAYER_5_THICKNESS_MM,70322b56-805e-5cc0-b939-0baea195fb6f,LENGTH,MAT_INFO,Mat Layer 5 Thickness Mm [ISO 19650-1:2018]
MAT_LAYER_COUNT,e181d31f-030c-5caf-8486-85070edf4eaf,INTEGER,MAT_INFO,Mat Layer Count [ISO 19650-1:2018]
MAT_LOCATION,77673d78-89cd-5919-8d96-e0ed6d6519ed,TEXT,MAT_INFO,Mat Location [ISO 19650-1:2018]
MAT_MANUFACTURER,66307eed-372a-5804-9c95-6866cceb503a,TEXT,MAT_INFO,Mat Manufacturer [ISO 19650-1:2018]
MAT_NAME,819a8cc6-a552-5649-921f-3b6e494c49d7,TEXT,MAT_INFO,Mat Name [ISO 19650-1:2018]
MAT_SPECIFICATIONS,0efc1f0f-a86a-5088-9305-8839f35d8acc,TEXT,MAT_INFO,Mat Specifications [ISO 19650-1:2018]
MAT_STANDARD,f7b7a311-f04b-5859-998e-e88295f4badc,TEXT,MAT_INFO,Mat Standard [ISO 19650-1:2018]
MAT_THICKNESS_INCH,77700220-09d7-5b22-b67c-282123db6b2d,LENGTH,MAT_INFO,Mat Thickness Inch [ISO 19650-1:2018]
MAT_THICKNESS_MM,34c84ad4-3a5c-5222-9abb-981bf9b53980,LENGTH,MAT_INFO,Mat Thickness Mm [ISO 19650-1:2018]
PROP_ACOUSTIC_ABS,cc5ae04e-b64b-5d57-9030-22f14dfff3a0,TEXT,PROP_PHYSICAL,Prop Acoustic Abs [ISO 19650-1:2018]
PROP_CARBON_KG_M3,8bdda9f1-dd26-5488-a045-df664f1e055a,VOLUME,PROP_PHYSICAL,Prop Carbon Kg M3 [ISO 19650-1:2018]
PROP_COMP_STRENGTH_MPA,e185941c-6778-5b9f-97ea-3f1d4bd74b9a,NUMBER,PROP_PHYSICAL,Prop Comp Strength Mpa [ISO 19650-1:2018]
MAT_COST_UGX,1ffd7a5b-353c-5634-bfe1-1a32c7ab44a1,CURRENCY,MAT_INFO,Mat Cost Ugx [ISO 19650-1:2018]
MAT_COST_USD,2dc13319-9225-58b5-9904-d9dc5455dcb0,CURRENCY,MAT_INFO,Mat Cost Usd [ISO 19650-1:2018]
PROP_DENSITY_KG_M3,7ac2667c-733e-5427-a646-4114c1d5d966,VOLUME,PROP_PHYSICAL,Prop Density Kg M3 [ISO 19650-1:2018]
PROP_FIRE_RATING,e9f9cfd6-e086-5eff-93a3-97eb552693a1,TEXT,PROP_PHYSICAL,Prop Fire Rating [ISO 19650-1:2018]
PROP_SOUND_RED_DB,0e0af49b-5fd9-51bb-8273-cb04161067de,NUMBER,PROP_PHYSICAL,Prop Sound Red Db [ISO 19650-1:2018]
PROP_SPECIFIC_HEAT_J_KGK,a495e29d-48f0-53a6-90f9-f51e283454e0,NUMBER,PROP_PHYSICAL,Prop Specific Heat J Kgk [ISO 19650-1:2018]
PROP_TENS_STRENGTH_MPA,1545e81b-0197-59e2-a346-ae418f64b5ad,NUMBER,PROP_PHYSICAL,Prop Tens Strength Mpa [ISO 19650-1:2018]
PROP_THERMAL_COND_W_MK,7a67eea7-6c74-56ea-bf6e-2cb506aef2b6,NUMBER,PROP_PHYSICAL,Prop Thermal Cond W Mk [ISO 19650-1:2018]
PROP_THERMAL_RES_M2K_W,7c46e3c8-c6d8-5b39-9e25-2ccd795886ee,AREA,PROP_PHYSICAL,Prop Thermal Res M2k W [ISO 19650-1:2018]
